20/01/2017;680;B;TOP;1,39300000;1,49220000;0,43650000;0,46750000
20/01/2017;685;A;MOP;0,39900000;0,39980000;7,98300000;7,99800000
20/01/2017;706;A;ARS;0,20150000;0,20180000;15,82000000;15,83750000
20/01/2017;715;A;CLP;0,00484100;0,00484300;659,00000000;659,24000000
20/01/2017;720;A;COP;0,00108700;0,00109200;2923,60000000;2935,41000000
20/01/2017;725;A;CUP;3,19120000;3,19180000;1,00000000;1,00000000
20/01/2017;730;A;DOP;0,06851000;0,06904000;46,23000000;46,58000000
20/01/2017;735;A;PHP;0,06379000;0,06383000;50,00700000;50,02700000
20/01/2017;741;A;MXN;0,14650000;0,14650000;21,78220000;21,78730000
20/01/2017;745;A;UYU;0,11140000;0,11160000;28,60000000;28,65000000
20/01/2017;755;B;BWP;0,30000000;0,30100000;0,09400000;0,09430000
20/01/2017;760;A;MWK;0,00436100;0,00445300;716,75000000;731,75000000
20/01/2017;766;A;ZMW;0,32300000;0,32370000;9,86000000;9,88000000
20/01/2017;770;A;GTQ;0,42390000;0,42420000;7,52500000;7,52800000
20/01/2017;775;A;MMK;0,00235300;0,00236400;1350,00000000;1356,00000000
20/01/2017;778;B;PGK;0,97810000;1,03250000;0,30650000;0,32350000
20/01/2017;779;A;HRK;0,45230000;0,45250000;7,05300000;7,05520000
20/01/2017;780;A;LAK;0,00038870;0,00038920;8200,00000000;8210,00000000
20/01/2017;785;A;ZAR;0,23490000;0,23520000;13,57250000;13,58750000
20/01/2017;795;A;CNY;0,46380000;0,46440000;6,87290000;6,88000000
20/01/2017;796;A;CNH;0,46590000;0,46600000;6,84910000;6,84990000
20/01/2017;800;A;QAR;0,87640000;0,87680000;3,64030000;3,64120000
20/01/2017;805;A;OMR;8,28670000;8,29040000;0,38500000;0,38510000
20/01/2017;810;A;YER;0,01275000;0,01277000;249,95000000;250,25000000
20/01/2017;815;A;IRR;0,00009860;0,00009860;32366,00000000;32366,00000000
20/01/2017;820;A;SAR;0,85060000;0,85130000;3,74920000;3,75190000
20/01/2017;825;A;KHR;0,00077850;0,00080180;3981,00000000;4099,00000000
20/01/2017;828;A;MYR;0,71740000;0,71840000;4,44300000;4,44800000
20/01/2017;830;A;RUB;0,05337000;0,05339000;59,78600000;59,79600000
20/01/2017;831;A;BYN;1,64030000;1,64650000;1,93850000;1,94550000
